Model,Method,Pattern,Instance,Correct,Answer
claude_haiku_4_5_20251001,zero-shot,CMP,claude_haiku_4_5_20251001_CMP_1_0,1,no
claude_haiku_4_5_20251001,zero-shot,CMP,claude_haiku_4_5_20251001_CMP_20_0,0,yes
claude_haiku_4_5_20251001,zero-shot,CMP,claude_haiku_4_5_20251001_CMP_2_0,1,no
claude_haiku_4_5_20251001,zero-shot,CMP,claude_haiku_4_5_20251001_CMP_3_0,1,no
claude_haiku_4_5_20251001,zero-shot,CMP,claude_haiku_4_5_20251001_CMP_4_0,1,no
claude_haiku_4_5_20251001,zero-shot,CMP,claude_haiku_4_5_20251001_CMP_5_0,1,no
claude_haiku_4_5_20251001,zero-shot,CMP,claude_haiku_4_5_20251001_CMP_6_0,1,no
claude_haiku_4_5_20251001,zero-shot,CMP,claude_haiku_4_5_20251001_CMP_7_0,1,no
claude_haiku_4_5_20251001,zero-shot,CMP,claude_haiku_4_5_20251001_CMP_8_0,1,no
claude_haiku_4_5_20251001,zero-shot,CMP,claude_haiku_4_5_20251001_CMP_9_0,1,no
claude_haiku_4_5_20251001,zero-shot,CT,claude_haiku_4_5_20251001_CT_10_0,0,yes
claude_haiku_4_5_20251001,zero-shot,CT,claude_haiku_4_5_20251001_CT_11_0,0,yes
claude_haiku_4_5_20251001,zero-shot,CT,claude_haiku_4_5_20251001_CT_12_0,0,yes
claude_haiku_4_5_20251001,zero-shot,CT,claude_haiku_4_5_20251001_CT_13_0,0,yes
claude_haiku_4_5_20251001,zero-shot,CT,claude_haiku_4_5_20251001_CT_14_0,0,yes
claude_haiku_4_5_20251001,zero-shot,CT,claude_haiku_4_5_20251001_CT_15_0,0,yes
claude_haiku_4_5_20251001,zero-shot,CT,claude_haiku_4_5_20251001_CT_16_0,0,yes
claude_haiku_4_5_20251001,zero-shot,CT,claude_haiku_4_5_20251001_CT_17_0,0,yes
claude_haiku_4_5_20251001,zero-shot,CT,claude_haiku_4_5_20251001_CT_18_0,0,yes
claude_haiku_4_5_20251001,zero-shot,CT,claude_haiku_4_5_20251001_CT_19_0,0,yes
claude_haiku_4_5_20251001,zero-shot,CT,claude_haiku_4_5_20251001_CT_1_0,0,yes
claude_haiku_4_5_20251001,zero-shot,CT,claude_haiku_4_5_20251001_CT_20_0,0,yes
claude_haiku_4_5_20251001,zero-shot,CT,claude_haiku_4_5_20251001_CT_2_0,0,yes
claude_haiku_4_5_20251001,zero-shot,CT,claude_haiku_4_5_20251001_CT_3_0,0,yes
claude_haiku_4_5_20251001,zero-shot,CT,claude_haiku_4_5_20251001_CT_4_0,0,yes
claude_haiku_4_5_20251001,zero-shot,CT,claude_haiku_4_5_20251001_CT_5_0,0,yes
claude_haiku_4_5_20251001,zero-shot,CT,claude_haiku_4_5_20251001_CT_6_0,0,yes
claude_haiku_4_5_20251001,zero-shot,CT,claude_haiku_4_5_20251001_CT_7_0,0,yes
claude_haiku_4_5_20251001,zero-shot,CT,claude_haiku_4_5_20251001_CT_8_0,0,yes
claude_haiku_4_5_20251001,zero-shot,CT,claude_haiku_4_5_20251001_CT_9_0,0,yes
claude_haiku_4_5_20251001,zero-shot,DSmi,claude_haiku_4_5_20251001_DSmi_10_0,1,no
claude_haiku_4_5_20251001,zero-shot,DSmi,claude_haiku_4_5_20251001_DSmi_11_0,1,no
claude_haiku_4_5_20251001,zero-shot,DSmi,claude_haiku_4_5_20251001_DSmi_12_0,1,no
claude_haiku_4_5_20251001,zero-shot,DSmi,claude_haiku_4_5_20251001_DSmi_13_0,1,no
claude_haiku_4_5_20251001,zero-shot,DSmi,claude_haiku_4_5_20251001_DSmi_14_0,1,no
claude_haiku_4_5_20251001,zero-shot,DSmi,claude_haiku_4_5_20251001_DSmi_15_0,1,no
claude_haiku_4_5_20251001,zero-shot,DSmi,claude_haiku_4_5_20251001_DSmi_16_0,1,no
claude_haiku_4_5_20251001,zero-shot,DSmi,claude_haiku_4_5_20251001_DSmi_17_0,1,no
claude_haiku_4_5_20251001,zero-shot,DSmi,claude_haiku_4_5_20251001_DSmi_18_0,1,no
claude_haiku_4_5_20251001,zero-shot,DSmi,claude_haiku_4_5_20251001_DSmi_19_0,1,no
claude_haiku_4_5_20251001,zero-shot,DSmi,claude_haiku_4_5_20251001_DSmi_1_0,0,yes
claude_haiku_4_5_20251001,zero-shot,DSmi,claude_haiku_4_5_20251001_DSmi_20_0,1,no
claude_haiku_4_5_20251001,zero-shot,DSmi,claude_haiku_4_5_20251001_DSmi_2_0,1,no
claude_haiku_4_5_20251001,zero-shot,DSmi,claude_haiku_4_5_20251001_DSmi_3_0,1,no
claude_haiku_4_5_20251001,zero-shot,DSmi,claude_haiku_4_5_20251001_DSmi_4_0,1,no
claude_haiku_4_5_20251001,zero-shot,DSmi,claude_haiku_4_5_20251001_DSmi_5_0,1,no
claude_haiku_4_5_20251001,zero-shot,DSmi,claude_haiku_4_5_20251001_DSmi_6_0,1,no
claude_haiku_4_5_20251001,zero-shot,DSmi,claude_haiku_4_5_20251001_DSmi_7_0,1,no
claude_haiku_4_5_20251001,zero-shot,DSmi,claude_haiku_4_5_20251001_DSmi_8_0,1,no
claude_haiku_4_5_20251001,zero-shot,DSmi,claude_haiku_4_5_20251001_DSmi_9_0,0,yes
claude_haiku_4_5_20251001,zero-shot,DSmu,claude_haiku_4_5_20251001_DSmu_10_0,0,yes
claude_haiku_4_5_20251001,zero-shot,DSmu,claude_haiku_4_5_20251001_DSmu_11_0,0,yes
claude_haiku_4_5_20251001,zero-shot,DSmu,claude_haiku_4_5_20251001_DSmu_12_0,0,yes
claude_haiku_4_5_20251001,zero-shot,DSmu,claude_haiku_4_5_20251001_DSmu_13_0,0,yes
claude_haiku_4_5_20251001,zero-shot,DSmu,claude_haiku_4_5_20251001_DSmu_14_0,0,yes
claude_haiku_4_5_20251001,zero-shot,DSmu,claude_haiku_4_5_20251001_DSmu_15_0,0,yes
claude_haiku_4_5_20251001,zero-shot,DSmu,claude_haiku_4_5_20251001_DSmu_16_0,1,no
claude_haiku_4_5_20251001,zero-shot,DSmu,claude_haiku_4_5_20251001_DSmu_17_0,0,yes
claude_haiku_4_5_20251001,zero-shot,DSmu,claude_haiku_4_5_20251001_DSmu_18_0,0,yes
claude_haiku_4_5_20251001,zero-shot,DSmu,claude_haiku_4_5_20251001_DSmu_19_0,0,yes
claude_haiku_4_5_20251001,zero-shot,DSmu,claude_haiku_4_5_20251001_DSmu_1_0,0,yes
claude_haiku_4_5_20251001,zero-shot,DSmu,claude_haiku_4_5_20251001_DSmu_20_0,0,yes
claude_haiku_4_5_20251001,zero-shot,DSmu,claude_haiku_4_5_20251001_DSmu_2_0,0,yes
claude_haiku_4_5_20251001,zero-shot,DSmu,claude_haiku_4_5_20251001_DSmu_3_0,0,yes
claude_haiku_4_5_20251001,zero-shot,DSmu,claude_haiku_4_5_20251001_DSmu_4_0,0,yes
claude_haiku_4_5_20251001,zero-shot,DSmu,claude_haiku_4_5_20251001_DSmu_5_0,0,yes
claude_haiku_4_5_20251001,zero-shot,DSmu,claude_haiku_4_5_20251001_DSmu_6_0,0,yes
claude_haiku_4_5_20251001,zero-shot,DSmu,claude_haiku_4_5_20251001_DSmu_7_0,0,yes
claude_haiku_4_5_20251001,zero-shot,DSmu,claude_haiku_4_5_20251001_DSmu_8_0,0,yes
claude_haiku_4_5_20251001,zero-shot,DSmu,claude_haiku_4_5_20251001_DSmu_9_0,0,yes
claude_haiku_4_5_20251001,zero-shot,MTmi,claude_haiku_4_5_20251001_MTmi_10_0,1,no
claude_haiku_4_5_20251001,zero-shot,MTmi,claude_haiku_4_5_20251001_MTmi_11_0,1,no
claude_haiku_4_5_20251001,zero-shot,MTmi,claude_haiku_4_5_20251001_MTmi_12_0,1,no
claude_haiku_4_5_20251001,zero-shot,MTmi,claude_haiku_4_5_20251001_MTmi_13_0,1,no
claude_haiku_4_5_20251001,zero-shot,MTmi,claude_haiku_4_5_20251001_MTmi_14_0,1,no
claude_haiku_4_5_20251001,zero-shot,MTmi,claude_haiku_4_5_20251001_MTmi_15_0,0,yes
claude_haiku_4_5_20251001,zero-shot,MTmi,claude_haiku_4_5_20251001_MTmi_16_0,1,no
claude_haiku_4_5_20251001,zero-shot,MTmi,claude_haiku_4_5_20251001_MTmi_17_0,1,no
claude_haiku_4_5_20251001,zero-shot,MTmi,claude_haiku_4_5_20251001_MTmi_18_0,1,no
claude_haiku_4_5_20251001,zero-shot,MTmi,claude_haiku_4_5_20251001_MTmi_19_0,0,yes
claude_haiku_4_5_20251001,zero-shot,MTmi,claude_haiku_4_5_20251001_MTmi_1_0,0,yes
claude_haiku_4_5_20251001,zero-shot,MTmi,claude_haiku_4_5_20251001_MTmi_20_0,1,no
claude_haiku_4_5_20251001,zero-shot,MTmi,claude_haiku_4_5_20251001_MTmi_2_0,0,yes
claude_haiku_4_5_20251001,zero-shot,MTmi,claude_haiku_4_5_20251001_MTmi_3_0,1,no
claude_haiku_4_5_20251001,zero-shot,MTmi,claude_haiku_4_5_20251001_MTmi_4_0,1,no
claude_haiku_4_5_20251001,zero-shot,MTmi,claude_haiku_4_5_20251001_MTmi_5_0,1,no
claude_haiku_4_5_20251001,zero-shot,MTmi,claude_haiku_4_5_20251001_MTmi_6_0,1,no
claude_haiku_4_5_20251001,zero-shot,MTmi,claude_haiku_4_5_20251001_MTmi_7_0,0,yes
claude_haiku_4_5_20251001,zero-shot,MTmi,claude_haiku_4_5_20251001_MTmi_8_0,1,no
claude_haiku_4_5_20251001,zero-shot,MTmi,claude_haiku_4_5_20251001_MTmi_9_0,0,yes
claude_haiku_4_5_20251001,zero-shot,MTmu,claude_haiku_4_5_20251001_MTmu_10_0,0,yes
claude_haiku_4_5_20251001,zero-shot,MTmu,claude_haiku_4_5_20251001_MTmu_11_0,0,yes
claude_haiku_4_5_20251001,zero-shot,MTmu,claude_haiku_4_5_20251001_MTmu_12_0,0,yes
claude_haiku_4_5_20251001,zero-shot,MTmu,claude_haiku_4_5_20251001_MTmu_13_0,0,yes
claude_haiku_4_5_20251001,zero-shot,MTmu,claude_haiku_4_5_20251001_MTmu_14_0,0,yes
claude_haiku_4_5_20251001,zero-shot,MTmu,claude_haiku_4_5_20251001_MTmu_15_0,0,yes
claude_haiku_4_5_20251001,zero-shot,MTmu,claude_haiku_4_5_20251001_MTmu_16_0,0,yes
claude_haiku_4_5_20251001,zero-shot,MTmu,claude_haiku_4_5_20251001_MTmu_17_0,0,yes
claude_haiku_4_5_20251001,zero-shot,MTmu,claude_haiku_4_5_20251001_MTmu_18_0,0,yes
claude_haiku_4_5_20251001,zero-shot,MTmu,claude_haiku_4_5_20251001_MTmu_19_0,0,yes
claude_haiku_4_5_20251001,zero-shot,MTmu,claude_haiku_4_5_20251001_MTmu_1_0,0,yes
claude_haiku_4_5_20251001,zero-shot,MTmu,claude_haiku_4_5_20251001_MTmu_20_0,0,yes
claude_haiku_4_5_20251001,zero-shot,MTmu,claude_haiku_4_5_20251001_MTmu_2_0,0,yes
claude_haiku_4_5_20251001,zero-shot,MTmu,claude_haiku_4_5_20251001_MTmu_3_0,0,yes
claude_haiku_4_5_20251001,zero-shot,MTmu,claude_haiku_4_5_20251001_MTmu_4_0,0,yes
claude_haiku_4_5_20251001,zero-shot,MTmu,claude_haiku_4_5_20251001_MTmu_5_0,0,yes
claude_haiku_4_5_20251001,zero-shot,MTmu,claude_haiku_4_5_20251001_MTmu_6_0,0,yes
claude_haiku_4_5_20251001,zero-shot,MTmu,claude_haiku_4_5_20251001_MTmu_7_0,0,yes
claude_haiku_4_5_20251001,zero-shot,MTmu,claude_haiku_4_5_20251001_MTmu_8_0,0,yes
claude_haiku_4_5_20251001,zero-shot,MTmu,claude_haiku_4_5_20251001_MTmu_9_0,0,yes
claude_haiku_4_5_20251001,chain-of-thought,ASd,claude_haiku_4_5_20251001_ASd_10_0,1,no
claude_haiku_4_5_20251001,chain-of-thought,ASd,claude_haiku_4_5_20251001_ASd_11_0,1,no
claude_haiku_4_5_20251001,chain-of-thought,ASd,claude_haiku_4_5_20251001_ASd_12_0,1,no
claude_haiku_4_5_20251001,chain-of-thought,ASd,claude_haiku_4_5_20251001_ASd_13_0,1,no
claude_haiku_4_5_20251001,chain-of-thought,ASd,claude_haiku_4_5_20251001_ASd_14_0,1,no
claude_haiku_4_5_20251001,chain-of-thought,ASd,claude_haiku_4_5_20251001_ASd_15_0,1,no
claude_haiku_4_5_20251001,chain-of-thought,ASd,claude_haiku_4_5_20251001_ASd_16_0,1,no
claude_haiku_4_5_20251001,chain-of-thought,ASd,claude_haiku_4_5_20251001_ASd_17_0,1,no
claude_haiku_4_5_20251001,chain-of-thought,ASd,claude_haiku_4_5_20251001_ASd_18_0,1,no
claude_haiku_4_5_20251001,chain-of-thought,ASd,claude_haiku_4_5_20251001_ASd_19_0,1,no
claude_haiku_4_5_20251001,chain-of-thought,ASd,claude_haiku_4_5_20251001_ASd_1_0,1,no
claude_haiku_4_5_20251001,chain-of-thought,ASd,claude_haiku_4_5_20251001_ASd_20_0,1,no
claude_haiku_4_5_20251001,chain-of-thought,ASd,claude_haiku_4_5_20251001_ASd_2_0,1,no
claude_haiku_4_5_20251001,chain-of-thought,ASd,claude_haiku_4_5_20251001_ASd_3_0,1,no
claude_haiku_4_5_20251001,chain-of-thought,ASd,claude_haiku_4_5_20251001_ASd_4_0,0,yes
claude_haiku_4_5_20251001,chain-of-thought,ASd,claude_haiku_4_5_20251001_ASd_5_0,1,no
claude_haiku_4_5_20251001,chain-of-thought,ASd,claude_haiku_4_5_20251001_ASd_6_0,1,no
claude_haiku_4_5_20251001,chain-of-thought,ASd,claude_haiku_4_5_20251001_ASd_7_0,0,yes
claude_haiku_4_5_20251001,chain-of-thought,ASd,claude_haiku_4_5_20251001_ASd_8_0,1,no
claude_haiku_4_5_20251001,chain-of-thought,ASd,claude_haiku_4_5_20251001_ASd_9_0,1,no
claude_haiku_4_5_20251001,chain-of-thought,CMP,claude_haiku_4_5_20251001_CMP_10_0,0,yes
claude_haiku_4_5_20251001,chain-of-thought,CMP,claude_haiku_4_5_20251001_CMP_11_0,0,yes
claude_haiku_4_5_20251001,chain-of-thought,CMP,claude_haiku_4_5_20251001_CMP_12_0,0,yes
claude_haiku_4_5_20251001,chain-of-thought,CMP,claude_haiku_4_5_20251001_CMP_13_0,0,yes
claude_haiku_4_5_20251001,chain-of-thought,CMP,claude_haiku_4_5_20251001_CMP_14_0,1,no
claude_haiku_4_5_20251001,chain-of-thought,CMP,claude_haiku_4_5_20251001_CMP_15_0,0,yes
claude_haiku_4_5_20251001,chain-of-thought,CMP,claude_haiku_4_5_20251001_CMP_16_0,0,yes
claude_haiku_4_5_20251001,chain-of-thought,CMP,claude_haiku_4_5_20251001_CMP_17_0,0,yes
claude_haiku_4_5_20251001,chain-of-thought,CMP,claude_haiku_4_5_20251001_CMP_18_0,0,yes
claude_haiku_4_5_20251001,chain-of-thought,CMP,claude_haiku_4_5_20251001_CMP_19_0,0,yes
claude_haiku_4_5_20251001,chain-of-thought,CMP,claude_haiku_4_5_20251001_CMP_1_0,1,no
claude_haiku_4_5_20251001,chain-of-thought,CMP,claude_haiku_4_5_20251001_CMP_20_0,0,yes
claude_haiku_4_5_20251001,chain-of-thought,CMP,claude_haiku_4_5_20251001_CMP_2_0,0,yes
claude_haiku_4_5_20251001,chain-of-thought,CMP,claude_haiku_4_5_20251001_CMP_3_0,1,no
claude_haiku_4_5_20251001,chain-of-thought,CMP,claude_haiku_4_5_20251001_CMP_4_0,1,no
claude_haiku_4_5_20251001,chain-of-thought,CMP,claude_haiku_4_5_20251001_CMP_5_0,0,yes
claude_haiku_4_5_20251001,chain-of-thought,CMP,claude_haiku_4_5_20251001_CMP_6_0,0,yes
claude_haiku_4_5_20251001,chain-of-thought,CMP,claude_haiku_4_5_20251001_CMP_7_0,0,yes
claude_haiku_4_5_20251001,chain-of-thought,CMP,claude_haiku_4_5_20251001_CMP_8_0,0,yes
claude_haiku_4_5_20251001,chain-of-thought,CMP,claude_haiku_4_5_20251001_CMP_9_0,0,yes
claude_haiku_4_5_20251001,chain-of-thought,CT,claude_haiku_4_5_20251001_CT_10_0,0,yes
claude_haiku_4_5_20251001,chain-of-thought,CT,claude_haiku_4_5_20251001_CT_11_0,0,yes
claude_haiku_4_5_20251001,chain-of-thought,CT,claude_haiku_4_5_20251001_CT_12_0,0,yes
claude_haiku_4_5_20251001,chain-of-thought,CT,claude_haiku_4_5_20251001_CT_13_0,0,yes
claude_haiku_4_5_20251001,chain-of-thought,CT,claude_haiku_4_5_20251001_CT_14_0,0,yes
claude_haiku_4_5_20251001,chain-of-thought,CT,claude_haiku_4_5_20251001_CT_15_0,0,yes
claude_haiku_4_5_20251001,chain-of-thought,CT,claude_haiku_4_5_20251001_CT_16_0,0,yes
claude_haiku_4_5_20251001,chain-of-thought,CT,claude_haiku_4_5_20251001_CT_17_0,0,yes
claude_haiku_4_5_20251001,chain-of-thought,CT,claude_haiku_4_5_20251001_CT_18_0,0,yes
claude_haiku_4_5_20251001,chain-of-thought,CT,claude_haiku_4_5_20251001_CT_19_0,0,yes
claude_haiku_4_5_20251001,chain-of-thought,CT,claude_haiku_4_5_20251001_CT_1_0,0,yes
claude_haiku_4_5_20251001,chain-of-thought,CT,claude_haiku_4_5_20251001_CT_20_0,0,yes
claude_haiku_4_5_20251001,chain-of-thought,CT,claude_haiku_4_5_20251001_CT_2_0,0,yes
claude_haiku_4_5_20251001,chain-of-thought,CT,claude_haiku_4_5_20251001_CT_3_0,0,yes
claude_haiku_4_5_20251001,chain-of-thought,CT,claude_haiku_4_5_20251001_CT_4_0,0,yes
claude_haiku_4_5_20251001,chain-of-thought,CT,claude_haiku_4_5_20251001_CT_5_0,0,yes
claude_haiku_4_5_20251001,chain-of-thought,CT,claude_haiku_4_5_20251001_CT_6_0,0,yes
claude_haiku_4_5_20251001,chain-of-thought,CT,claude_haiku_4_5_20251001_CT_7_0,0,yes
claude_haiku_4_5_20251001,chain-of-thought,CT,claude_haiku_4_5_20251001_CT_8_0,0,yes
claude_haiku_4_5_20251001,chain-of-thought,CT,claude_haiku_4_5_20251001_CT_9_0,0,yes
claude_haiku_4_5_20251001,chain-of-thought,DSmi,claude_haiku_4_5_20251001_DSmi_10_0,1,no
claude_haiku_4_5_20251001,chain-of-thought,DSmi,claude_haiku_4_5_20251001_DSmi_11_0,1,no
claude_haiku_4_5_20251001,chain-of-thought,DSmi,claude_haiku_4_5_20251001_DSmi_12_0,1,no
claude_haiku_4_5_20251001,chain-of-thought,DSmi,claude_haiku_4_5_20251001_DSmi_13_0,1,no
claude_haiku_4_5_20251001,chain-of-thought,DSmi,claude_haiku_4_5_20251001_DSmi_14_0,1,no
claude_haiku_4_5_20251001,chain-of-thought,DSmi,claude_haiku_4_5_20251001_DSmi_15_0,1,no
claude_haiku_4_5_20251001,chain-of-thought,DSmi,claude_haiku_4_5_20251001_DSmi_16_0,1,no
claude_haiku_4_5_20251001,chain-of-thought,DSmi,claude_haiku_4_5_20251001_DSmi_17_0,1,no
claude_haiku_4_5_20251001,chain-of-thought,DSmi,claude_haiku_4_5_20251001_DSmi_18_0,1,no
claude_haiku_4_5_20251001,chain-of-thought,DSmi,claude_haiku_4_5_20251001_DSmi_19_0,1,no
claude_haiku_4_5_20251001,chain-of-thought,DSmi,claude_haiku_4_5_20251001_DSmi_1_0,1,no
claude_haiku_4_5_20251001,chain-of-thought,DSmi,claude_haiku_4_5_20251001_DSmi_20_0,1,no
claude_haiku_4_5_20251001,chain-of-thought,DSmi,claude_haiku_4_5_20251001_DSmi_2_0,1,no
claude_haiku_4_5_20251001,chain-of-thought,DSmi,claude_haiku_4_5_20251001_DSmi_3_0,1,no
claude_haiku_4_5_20251001,chain-of-thought,DSmi,claude_haiku_4_5_20251001_DSmi_4_0,1,no
claude_haiku_4_5_20251001,chain-of-thought,DSmi,claude_haiku_4_5_20251001_DSmi_5_0,1,no
claude_haiku_4_5_20251001,chain-of-thought,DSmi,claude_haiku_4_5_20251001_DSmi_6_0,1,no
claude_haiku_4_5_20251001,chain-of-thought,DSmi,claude_haiku_4_5_20251001_DSmi_7_0,1,no
claude_haiku_4_5_20251001,chain-of-thought,DSmi,claude_haiku_4_5_20251001_DSmi_8_0,1,no
claude_haiku_4_5_20251001,chain-of-thought,DSmi,claude_haiku_4_5_20251001_DSmi_9_0,1,no
claude_haiku_4_5_20251001,chain-of-thought,DSmu,claude_haiku_4_5_20251001_DSmu_10_0,0,yes
claude_haiku_4_5_20251001,chain-of-thought,DSmu,claude_haiku_4_5_20251001_DSmu_11_0,0,yes
claude_haiku_4_5_20251001,chain-of-thought,DSmu,claude_haiku_4_5_20251001_DSmu_12_0,0,yes
claude_haiku_4_5_20251001,chain-of-thought,DSmu,claude_haiku_4_5_20251001_DSmu_13_0,0,yes
claude_haiku_4_5_20251001,chain-of-thought,DSmu,claude_haiku_4_5_20251001_DSmu_14_0,0,yes
claude_haiku_4_5_20251001,chain-of-thought,DSmu,claude_haiku_4_5_20251001_DSmu_15_0,0,yes
claude_haiku_4_5_20251001,chain-of-thought,DSmu,claude_haiku_4_5_20251001_DSmu_16_0,0,yes
claude_haiku_4_5_20251001,chain-of-thought,DSmu,claude_haiku_4_5_20251001_DSmu_17_0,0,yes
claude_haiku_4_5_20251001,chain-of-thought,DSmu,claude_haiku_4_5_20251001_DSmu_18_0,0,yes
claude_haiku_4_5_20251001,chain-of-thought,DSmu,claude_haiku_4_5_20251001_DSmu_19_0,0,yes
claude_haiku_4_5_20251001,chain-of-thought,DSmu,claude_haiku_4_5_20251001_DSmu_1_0,0,yes
claude_haiku_4_5_20251001,chain-of-thought,DSmu,claude_haiku_4_5_20251001_DSmu_20_0,0,yes
claude_haiku_4_5_20251001,chain-of-thought,DSmu,claude_haiku_4_5_20251001_DSmu_2_0,0,yes
claude_haiku_4_5_20251001,chain-of-thought,DSmu,claude_haiku_4_5_20251001_DSmu_3_0,0,yes
claude_haiku_4_5_20251001,chain-of-thought,DSmu,claude_haiku_4_5_20251001_DSmu_4_0,0,yes
claude_haiku_4_5_20251001,chain-of-thought,DSmu,claude_haiku_4_5_20251001_DSmu_5_0,0,yes
claude_haiku_4_5_20251001,chain-of-thought,DSmu,claude_haiku_4_5_20251001_DSmu_6_0,0,yes
claude_haiku_4_5_20251001,chain-of-thought,DSmu,claude_haiku_4_5_20251001_DSmu_7_0,0,yes
claude_haiku_4_5_20251001,chain-of-thought,DSmu,claude_haiku_4_5_20251001_DSmu_8_0,0,yes
claude_haiku_4_5_20251001,chain-of-thought,DSmu,claude_haiku_4_5_20251001_DSmu_9_0,0,yes
claude_haiku_4_5_20251001,chain-of-thought,MTmi,claude_haiku_4_5_20251001_MTmi_10_0,1,no
claude_haiku_4_5_20251001,chain-of-thought,MTmi,claude_haiku_4_5_20251001_MTmi_11_0,1,no
claude_haiku_4_5_20251001,chain-of-thought,MTmi,claude_haiku_4_5_20251001_MTmi_12_0,1,no
claude_haiku_4_5_20251001,chain-of-thought,MTmi,claude_haiku_4_5_20251001_MTmi_13_0,1,no
claude_haiku_4_5_20251001,chain-of-thought,MTmi,claude_haiku_4_5_20251001_MTmi_14_0,1,no
claude_haiku_4_5_20251001,chain-of-thought,MTmi,claude_haiku_4_5_20251001_MTmi_15_0,1,no
claude_haiku_4_5_20251001,chain-of-thought,MTmi,claude_haiku_4_5_20251001_MTmi_16_0,1,no
claude_haiku_4_5_20251001,chain-of-thought,MTmi,claude_haiku_4_5_20251001_MTmi_17_0,1,no
claude_haiku_4_5_20251001,chain-of-thought,MTmi,claude_haiku_4_5_20251001_MTmi_18_0,1,no
claude_haiku_4_5_20251001,chain-of-thought,MTmi,claude_haiku_4_5_20251001_MTmi_19_0,1,no
claude_haiku_4_5_20251001,chain-of-thought,MTmi,claude_haiku_4_5_20251001_MTmi_1_0,1,no
claude_haiku_4_5_20251001,chain-of-thought,MTmi,claude_haiku_4_5_20251001_MTmi_20_0,1,no
claude_haiku_4_5_20251001,chain-of-thought,MTmi,claude_haiku_4_5_20251001_MTmi_2_0,1,no
claude_haiku_4_5_20251001,chain-of-thought,MTmi,claude_haiku_4_5_20251001_MTmi_3_0,1,no
claude_haiku_4_5_20251001,chain-of-thought,MTmi,claude_haiku_4_5_20251001_MTmi_4_0,1,no
claude_haiku_4_5_20251001,chain-of-thought,MTmi,claude_haiku_4_5_20251001_MTmi_5_0,1,no
claude_haiku_4_5_20251001,chain-of-thought,MTmi,claude_haiku_4_5_20251001_MTmi_6_0,0,yes
